Circuit,Country,circuit_for_URL
Austin,United States,Austin
Baku,Azerbaijan,Baku
Catalunya,Spain,Catalunya
Hungaroring,Hungary,Hungaroring
Imola,Italy,Imola
Interlagos,Brazil,Interlagos
Jeddah,Saudi Arabia,Jeddah
Las Vegas,United States,Las%20Vegas
Lusail,Qatar,Lusail
Melbourne,Australia,Melbourne
Mexico City,Mexico,Mexico%20City
Miami,United States,Miami
Monte Carlo,Monaco,Monte%20Carlo
Montreal,Canada,Montreal
Monza,Italy,Monza
Sakhir,Bahrain,Sakhir
Shanghai,China,Shanghai
Silverstone,Great Britain,Silverstone
Singapore,Singapore,Singapore
Spa-Francorchamps,Belgium,Spa-Francorchamps
Spielberg,Austria,Spielberg
Suzuka,Japan,Suzuka
Yas Marina Circuit,United Arab Emirates,Yas%20Marina%20Circuit
Zandvoort,Netherlands,Zandvoort
